location,latency_ms,packet_loss_percent,status_code
Prince-Albert_Core_Switch_01,25.38,1.56,200
Moose-Jaw_Core_Switch_01,56.67,2.4,200
Saskatoon_Core_Switch_01,29.92,0.12,200
Lloydminster_Core_Switch_01,13.52,0.84,200
Prince-Albert_Core_Switch_01,17.57,0.03,200
Moose-Jaw_Core_Switch_01,61.68,0.76,200
Prince-Albert_Core_Switch_01,39.82,0.0,200
Moose-Jaw_Core_Switch_01,48.73,2.24,200
Prince-Albert_Core_Switch_01,40.07,1.5,200
Saskatoon_Core_Switch_01,30.08,1.37,200
Lloydminster_Core_Switch_01,53.48,0.72,200
Regina_Core_Switch_01,37.03,1.03,200
Regina_Core_Switch_01,35.76,0.23,200
Regina_Core_Switch_01,61.25,0.85,503
Saskatoon_Core_Switch_01,34.01,2.08,200
Prince-Albert_Core_Switch_01,33.73,1.54,200
Lloydminster_Core_Switch_01,32.14,0.17,429
Lloydminster_Core_Switch_01,17.58,2.75,200
Moose-Jaw_Core_Switch_01,22.95,0.12,200
Prince-Albert_Core_Switch_01,11.82,1.72,200
Lloydminster_Core_Switch_01,35.6,0.25,200
Moose-Jaw_Core_Switch_01,14.13,0.01,200
Saskatoon_Core_Switch_01,59.86,1.11,200
Moose-Jaw_Core_Switch_01,67.55,1.16,200
Regina_Core_Switch_01,46.53,0.73,200
Regina_Core_Switch_01,35.86,1.43,200
Saskatoon_Core_Switch_01,35.62,2.79,200
Prince-Albert_Core_Switch_01,39.39,1.22,200
Moose-Jaw_Core_Switch_01,57.27,0.28,200
Saskatoon_Core_Switch_01,44.16,2.94,200
Saskatoon_Core_Switch_01,15.88,2.48,200
Regina_Core_Switch_01,44.78,0.47,200
Saskatoon_Core_Switch_01,10.66,0.06,200
Prince-Albert_Core_Switch_01,55.89,1.83,200
Lloydminster_Core_Switch_01,17.32,1.53,200
Lloydminster_Core_Switch_01,53.67,1.83,200
Moose-Jaw_Core_Switch_01,22.94,2.03,200
Prince-Albert_Core_Switch_01,16.69,0.42,200
Moose-Jaw_Core_Switch_01,18.68,1.86,200
Regina_Core_Switch_01,34.14,1.76,200
Prince-Albert_Core_Switch_01,35.12,2.24,429
Prince-Albert_Core_Switch_01,30.62,0.67,200
Lloydminster_Core_Switch_01,50.43,2.13,200
Lloydminster_Core_Switch_01,46.43,0.5,200
Saskatoon_Core_Switch_01,58.41,1.08,200
Regina_Core_Switch_01,38.75,1.3,200
Saskatoon_Core_Switch_01,53.69,0.49,429
Lloydminster_Core_Switch_01,65.77,0.99,200
Prince-Albert_Core_Switch_01,55.04,2.22,200
Regina_Core_Switch_01,67.37,1.61,200
Moose-Jaw_Core_Switch_01,59.5,0.27,200
Lloydminster_Core_Switch_01,27.78,1.48,200
Lloydminster_Core_Switch_01,42.85,1.11,200
Moose-Jaw_Core_Switch_01,17.42,1.4,200
Moose-Jaw_Core_Switch_01,28.83,0.68,200
Prince-Albert_Core_Switch_01,15.4,2.16,200
Moose-Jaw_Core_Switch_01,40.18,2.0,200
Lloydminster_Core_Switch_01,55.15,1.51,200
Moose-Jaw_Core_Switch_01,39.09,2.56,200
Lloydminster_Core_Switch_01,40.47,2.26,200
Prince-Albert_Core_Switch_01,35.4,1.19,200
Moose-Jaw_Core_Switch_01,17.03,0.51,200
Regina_Core_Switch_01,40.95,2.17,200
Prince-Albert_Core_Switch_01,30.65,1.11,429
Regina_Core_Switch_01,51.64,2.96,200
Lloydminster_Core_Switch_01,17.16,0.79,200
Prince-Albert_Core_Switch_01,13.87,0.4,200
Regina_Core_Switch_01,24.83,1.55,200
Moose-Jaw_Core_Switch_01,16.23,0.87,200
Prince-Albert_Core_Switch_01,27.46,2.09,200
Lloydminster_Core_Switch_01,23.42,2.13,200
Prince-Albert_Core_Switch_01,64.68,1.89,200
Regina_Core_Switch_01,63.98,2.87,200
Regina_Core_Switch_01,21.91,1.1,200
Prince-Albert_Core_Switch_01,39.04,1.25,200
Prince-Albert_Core_Switch_01,33.7,0.39,200
Lloydminster_Core_Switch_01,65.71,0.54,200
Prince-Albert_Core_Switch_01,16.57,0.24,200
Regina_Core_Switch_01,35.04,1.0,200
Prince-Albert_Core_Switch_01,63.53,2.87,200
Lloydminster_Core_Switch_01,28.61,1.49,200
Regina_Core_Switch_01,17.06,0.66,200
Prince-Albert_Core_Switch_01,45.89,2.77,200
Lloydminster_Core_Switch_01,18.45,2.09,200
Prince-Albert_Core_Switch_01,43.77,1.07,200
Lloydminster_Core_Switch_01,12.06,0.74,200
Moose-Jaw_Core_Switch_01,28.86,0.38,200
Saskatoon_Core_Switch_01,21.9,0.11,200
Saskatoon_Core_Switch_01,30.05,2.2,200
Regina_Core_Switch_01,18.55,0.43,200
Lloydminster_Core_Switch_01,20.65,1.07,200
Prince-Albert_Core_Switch_01,40.85,1.73,200
Prince-Albert_Core_Switch_01,40.48,2.69,200
Regina_Core_Switch_01,20.43,0.65,200
Moose-Jaw_Core_Switch_01,56.06,1.32,200
Saskatoon_Core_Switch_01,69.46,0.5,200
Moose-Jaw_Core_Switch_01,64.73,1.4,200
Moose-Jaw_Core_Switch_01,49.24,0.98,200
Saskatoon_Core_Switch_01,44.24,2.8,200
Regina_Core_Switch_01,45.04,1.11,200
Saskatoon_Core_Switch_01,260.63,13.14,504
Moose-Jaw_Core_Switch_01,64.52,2.28,200
Regina_Core_Switch_01,60.89,2.51,200
Moose-Jaw_Core_Switch_01,58.57,0.56,200
Moose-Jaw_Core_Switch_01,19.22,0.15,503
Saskatoon_Core_Switch_01,63.24,1.05,200
Saskatoon_Core_Switch_01,68.87,0.24,200
Regina_Core_Switch_01,12.23,1.28,200
Saskatoon_Core_Switch_01,38.65,1.58,200
Prince-Albert_Core_Switch_01,36.74,1.8,200
Regina_Core_Switch_01,23.22,1.59,200
Moose-Jaw_Core_Switch_01,66.08,0.58,200
Prince-Albert_Core_Switch_01,59.02,1.09,200
Regina_Core_Switch_01,45.67,2.84,200
Saskatoon_Core_Switch_01,11.56,0.53,200
Moose-Jaw_Core_Switch_01,40.53,1.63,200
Regina_Core_Switch_01,61.68,2.45,200
Prince-Albert_Core_Switch_01,12.85,2.49,200
Lloydminster_Core_Switch_01,23.32,2.73,200
Moose-Jaw_Core_Switch_01,55.18,2.73,200
Saskatoon_Core_Switch_01,16.95,0.75,200
Moose-Jaw_Core_Switch_01,38.04,1.09,429
Regina_Core_Switch_01,60.48,2.01,200
Regina_Core_Switch_01,13.95,2.76,200
Prince-Albert_Core_Switch_01,30.76,2.82,200
Regina_Core_Switch_01,44.95,1.45,200
Prince-Albert_Core_Switch_01,48.76,2.28,200
Saskatoon_Core_Switch_01,31.54,2.56,200
Prince-Albert_Core_Switch_01,42.67,0.27,200
Regina_Core_Switch_01,62.04,1.06,200
Saskatoon_Core_Switch_01,31.24,2.25,200
Lloydminster_Core_Switch_01,50.85,1.08,200
Saskatoon_Core_Switch_01,58.45,1.78,200
Saskatoon_Core_Switch_01,41.1,1.79,200
Saskatoon_Core_Switch_01,42.19,1.94,200
Regina_Core_Switch_01,16.51,1.38,200
Regina_Core_Switch_01,24.5,2.02,200
Saskatoon_Core_Switch_01,55.65,1.45,200
Prince-Albert_Core_Switch_01,26.29,2.93,200
Saskatoon_Core_Switch_01,64.02,0.76,200
Regina_Core_Switch_01,62.28,1.94,200
Saskatoon_Core_Switch_01,15.12,1.32,200
Lloydminster_Core_Switch_01,67.76,0.63,200
Prince-Albert_Core_Switch_01,63.55,2.02,200
Regina_Core_Switch_01,25.42,1.54,200
Prince-Albert_Core_Switch_01,31.39,0.94,200
Moose-Jaw_Core_Switch_01,10.14,1.2,200
Regina_Core_Switch_01,27.41,2.03,200
Regina_Core_Switch_01,31.73,1.14,429
Regina_Core_Switch_01,52.67,2.12,200
Regina_Core_Switch_01,39.82,2.77,200
Prince-Albert_Core_Switch_01,23.39,2.93,200
Lloydminster_Core_Switch_01,63.11,2.78,200
Moose-Jaw_Core_Switch_01,35.66,1.17,200
Saskatoon_Core_Switch_01,44.38,0.73,200
Regina_Core_Switch_01,63.2,2.59,200
Moose-Jaw_Core_Switch_01,63.9,2.97,200
Moose-Jaw_Core_Switch_01,11.1,1.74,200
Saskatoon_Core_Switch_01,60.39,1.3,200
Prince-Albert_Core_Switch_01,15.17,2.26,200
Moose-Jaw_Core_Switch_01,64.71,2.6,200
Saskatoon_Core_Switch_01,47.17,0.71,200
Regina_Core_Switch_01,46.42,1.56,200
Prince-Albert_Core_Switch_01,15.35,2.64,503
Prince-Albert_Core_Switch_01,32.12,0.67,200
Lloydminster_Core_Switch_01,13.24,2.0,503
Lloydminster_Core_Switch_01,16.49,1.05,200
Saskatoon_Core_Switch_01,29.07,0.89,200
Saskatoon_Core_Switch_01,36.93,1.42,200
Regina_Core_Switch_01,58.98,0.64,200
Prince-Albert_Core_Switch_01,54.39,2.8,200
Regina_Core_Switch_01,10.48,1.96,200
Moose-Jaw_Core_Switch_01,69.46,2.09,200
Lloydminster_Core_Switch_01,38.39,2.63,200
Prince-Albert_Core_Switch_01,14.91,1.28,200
Lloydminster_Core_Switch_01,19.88,1.42,200
Lloydminster_Core_Switch_01,28.84,2.95,200
Prince-Albert_Core_Switch_01,60.58,2.15,200
Lloydminster_Core_Switch_01,20.58,1.77,200
Saskatoon_Core_Switch_01,44.15,2.59,200
Lloydminster_Core_Switch_01,30.3,1.56,429
Moose-Jaw_Core_Switch_01,45.26,1.98,200
Moose-Jaw_Core_Switch_01,29.96,2.67,200
Regina_Core_Switch_01,46.98,0.39,200
Lloydminster_Core_Switch_01,52.36,0.76,200
Lloydminster_Core_Switch_01,41.81,1.07,200
Lloydminster_Core_Switch_01,96.56,7.49,504
Lloydminster_Core_Switch_01,53.87,1.08,503
Saskatoon_Core_Switch_01,66.45,0.87,200
Regina_Core_Switch_01,19.55,2.87,429
Prince-Albert_Core_Switch_01,19.17,0.65,200
Saskatoon_Core_Switch_01,53.11,1.65,200
Lloydminster_Core_Switch_01,52.41,1.11,200
Prince-Albert_Core_Switch_01,28.6,0.04,200
Regina_Core_Switch_01,15.45,0.79,200
Prince-Albert_Core_Switch_01,54.94,2.57,429
Lloydminster_Core_Switch_01,19.31,2.82,200
Moose-Jaw_Core_Switch_01,30.29,1.47,200
Regina_Core_Switch_01,43.26,0.77,200
Prince-Albert_Core_Switch_01,18.08,2.84,200
Saskatoon_Core_Switch_01,68.29,1.16,200
Moose-Jaw_Core_Switch_01,22.56,2.44,200
Lloydminster_Core_Switch_01,27.04,2.88,200
Moose-Jaw_Core_Switch_01,43.61,2.58,200
Lloydminster_Core_Switch_01,51.95,1.5,200
Moose-Jaw_Core_Switch_01,22.11,2.55,200
Moose-Jaw_Core_Switch_01,31.51,1.71,200
Moose-Jaw_Core_Switch_01,30.78,0.85,200
Regina_Core_Switch_01,25.21,0.47,429
Prince-Albert_Core_Switch_01,64.32,0.74,200
Moose-Jaw_Core_Switch_01,62.47,1.77,200
Regina_Core_Switch_01,26.81,2.55,200
Moose-Jaw_Core_Switch_01,47.97,1.6,200
Lloydminster_Core_Switch_01,52.57,2.22,200
Regina_Core_Switch_01,30.85,2.56,200
Moose-Jaw_Core_Switch_01,63.2,1.98,200
Saskatoon_Core_Switch_01,25.96,1.64,200
Prince-Albert_Core_Switch_01,22.66,2.22,200
Prince-Albert_Core_Switch_01,21.31,2.34,200
Prince-Albert_Core_Switch_01,30.64,1.15,200
Prince-Albert_Core_Switch_01,62.02,0.02,200
Prince-Albert_Core_Switch_01,58.56,0.04,200
Lloydminster_Core_Switch_01,39.93,0.33,200
Prince-Albert_Core_Switch_01,43.34,1.32,200
Regina_Core_Switch_01,20.13,0.55,200
Lloydminster_Core_Switch_01,56.3,2.3,200
Prince-Albert_Core_Switch_01,27.48,1.19,200
Moose-Jaw_Core_Switch_01,33.99,2.19,200
Moose-Jaw_Core_Switch_01,27.5,2.9,200
Saskatoon_Core_Switch_01,52.44,0.08,200
Lloydminster_Core_Switch_01,43.01,2.75,429
Regina_Core_Switch_01,15.12,1.58,200
Prince-Albert_Core_Switch_01,27.41,2.67,200
Saskatoon_Core_Switch_01,43.4,0.4,200
Lloydminster_Core_Switch_01,49.72,0.53,200
Saskatoon_Core_Switch_01,38.4,1.04,200
Saskatoon_Core_Switch_01,33.25,2.08,200
Regina_Core_Switch_01,49.77,1.46,200
Lloydminster_Core_Switch_01,14.5,0.14,200
Lloydminster_Core_Switch_01,26.66,0.09,200
Saskatoon_Core_Switch_01,19.08,2.18,200
Regina_Core_Switch_01,46.1,1.31,200
Prince-Albert_Core_Switch_01,60.9,0.08,200
Lloydminster_Core_Switch_01,48.69,1.51,200
Regina_Core_Switch_01,58.38,1.32,200
Regina_Core_Switch_01,54.33,1.4,200
Moose-Jaw_Core_Switch_01,22.05,2.3,200
Prince-Albert_Core_Switch_01,48.78,0.61,200
Saskatoon_Core_Switch_01,23.15,1.17,200
Lloydminster_Core_Switch_01,63.4,2.79,200
Lloydminster_Core_Switch_01,187.58,11.87,200
Regina_Core_Switch_01,18.67,2.44,200
Saskatoon_Core_Switch_01,19.94,1.68,200
Saskatoon_Core_Switch_01,60.98,0.72,200
Saskatoon_Core_Switch_01,10.5,0.55,200
Lloydminster_Core_Switch_01,62.59,1.56,200
Moose-Jaw_Core_Switch_01,60.3,1.12,200
Regina_Core_Switch_01,63.8,2.74,200
Prince-Albert_Core_Switch_01,28.02,0.57,200
Moose-Jaw_Core_Switch_01,28.02,0.51,200
Saskatoon_Core_Switch_01,25.26,1.18,200
Saskatoon_Core_Switch_01,11.81,0.82,200
Regina_Core_Switch_01,60.69,0.57,200
Regina_Core_Switch_01,42.33,2.46,200
Saskatoon_Core_Switch_01,44.29,1.25,200
Lloydminster_Core_Switch_01,24.36,2.84,200
Lloydminster_Core_Switch_01,61.48,0.03,200
